codigo_municipio,populacao_0_17
2803500,25417
2803609,6962
2803708,1706
2803807,1068
2803906,3132
2804003,4667
2804102,2516
2804201,4327
2804300,2183
2804409,4675
2804458,2196
2804508,11055
2804607,6473
2804706,1658
2804805,54584
2804904,3835
2805000,727
2805109,1892
2805208,1455
2805307,2295
2805406,10831
2805505,5290
2805604,7704
2805703,7246
2805802,4656
2805901,2666
2806008,3832
2806107,2722
2806206,5290
2806305,4225
2806404,2323
2806503,1193
2806602,3157
2806701,25016
2806800,2648
2806909,849
2807006,821
2807105,10628
2807204,2310
2807303,930
2807402,12253
2807501,3290
2807600,6882
2900108,1356
2900207,5376
2900306,3667
2900355,3316
2900405,3485
2900504,2243
2900603,1076
2900702,36332
2900801,6863
2900900,1198
2901007,8711
2901106,5818
2901155,4383
2901205,5762
2901304,3491
2901353,3542
2901403,3625
2901502,2503
2901601,2896
2901700,3011
2901809,2779
2901908,4037
2901957,1775
2902005,3211
2902054,3203
2902104,13010
2902203,2429
2902252,2737
2902302,2261
2902401,3258
2902500,3668
2902609,4500
2902658,3360
2902708,16288
2902807,6778
2902906,10124
2903003,3320
2903102,1469
2903201,43478
2903235,3375
2903276,4005
2903300,1354
2903409,5662
2903508,4472
2903607,3852
2903706,3430
2903805,4650
2903904,18854
2903953,2415
2904001,3496
2904050,4686
2904100,4699
2904209,2518
2904308,3268
2904407,2222
2904506,2906
2904605,16094
2904704,3609
2904753,5733
2904803,1435
2904852,4683
2904902,7030
2905008,5044
2905107,2806
2905156,2663
2905206,12293
2905305,4890
2905404,4887
2905503,3634
2905602,6159
2905701,77870
2905800,9565
2905909,9034
2906006,19162
2906105,2785
2906204,6536
2906303,8439
2906402,1763
2906501,17722
2906600,2868
2906709,6386
2906808,9773
2906824,4539
2906857,2284
2906873,8822
2906899,2229
2906907,5638
2907004,2457
2907103,8498
2907202,20699
2907301,5938
2907400,941
2907509,11182
2907558,1939
2907608,4218
2907707,2990
2907806,6712
2907905,4762
2908002,4061
2908101,4884
2908200,5174
2908309,3335
2908408,17610
2908507,8455
2908606,6892
2908705,3817
2908804,1005
2908903,6380
2909000,1618
2909109,3355
2909208,4364
2909307,8374
2909406,3557
2909505,1085
2909604,5124
2909703,3520
2909802,13723
2909901,9974
2910008,2976
2910057,19227
2910107,2585
2910206,997
2910305,1724
2910404,5136
2910503,10048
2910602,9194
2910701,15452
2910727,30851
2910750,3976
2910776,1362
2910800,150536
2910859,4622
2910909,1229
2911006,2515
2911105,7730
2911204,8512
2911253,960
2911303,2709
2911402,4230
2911501,1459
2911600,5149
2911659,1677
2911709,20825
2911808,4875
2911857,2676
2911907,6448
2912004,2049
2912103,5065
2912202,6169
2912301,3303
2912400,4196
2912509,3118
2912608,990
2912707,7211
2912806,2316
2912905,4850
2913002,3187
2913101,4186
2913200,7256
2913309,1444
2913408,3427
2913457,3627
2913507,5467
2913606,42464
2913705,8968
2913804,3340
2913903,10013
2914000,14090
2914109,2275
2914208,1547
2914307,2585
2914406,6517
2914505,6939
2914604,19554
2914653,8426
2914703,16627
2914802,41498
2914901,8109
2915007,3847
2915106,3525
2915205,3861
2915304,1698
2915353,3611
2915403,1783
2915502,4511
2915601,15869
2915700,1815
