codigo_escola,enem_media_geral_2024,qtd_participantes_enem_2024
43040071,660.812,10
52097587,660.7760919540231,58
29165610,660.7608130081301,41
35116373,660.7472888888889,75
35111466,660.7264,25
35107542,660.7249572649573,39
60007116,660.72,1
27235009,660.6885106382979,47
31004111,660.6675,16
35141100,660.621,40
31133621,660.6053333333333,15
43039260,660.580909090909,22
42000670,660.5356639566396,123
33157499,660.5233333333333,18
50004476,660.5207407407407,18
60012977,660.448,5
35106148,660.4478571428572,84
16003128,660.4060194174758,103
42080746,660.3923655913978,62
31358266,660.3857142857144,21
60012562,660.3233333333333,6
33181594,660.3166666666667,24
31180521,660.3114285714286,14
22143459,660.2938775510204,49
35152638,660.2836363636363,22
29486963,660.1579569892473,124
35312101,660.1270000000001,20
33447225,660.098303030303,165
35119982,660.0738562091502,51
60015734,660.0266666666666,3
33066698,660.0014285714285,70
35101734,659.9998692810457,51
22126988,659.92,26
31220094,659.8693785310735,118
24057126,659.7144736842106,76
31193313,659.6862068965518,29
29393795,659.6800000000001,15
29182387,659.6541666666667,48
35138174,659.6411764705882,17
23066814,659.6044755244756,143
33088519,659.5773333333333,30
35139646,659.5174193548387,62
60013107,659.475,4
60019563,659.465,8
41166043,659.3918518518519,27
35152729,659.3820454545455,88
33192260,659.3272727272727,66
33066671,659.2748387096774,31
17055539,659.2726881720431,31
60004835,659.2638095238095,7
33139954,659.2633333333333,20
35104991,659.1967164179105,67
35179085,659.1825,16
35186429,659.0742322097378,89
21195534,659.056936936937,74
33032858,659.0180952380953,21
23243350,659.000625,96
26049910,659.0,10
43157998,658.9741935483871,31
24350303,658.938125,64
31364860,658.9272463768116,23
35128659,658.8925925925926,27
25153820,658.86625,16
35159013,658.86,52
43028250,658.8104761904763,21
43186700,658.7889189189189,74
31041190,658.6859999999999,20
35126718,658.6604371584699,61
35100432,658.6448648648649,148
23491035,658.6116923076924,65
31369969,658.605243902439,164
31239666,658.5779487179487,26
41407423,658.5684210526315,76
41031105,658.5171428571429,28
35158677,658.483870967742,31
43105670,658.4746666666667,60
33064024,658.3901587301586,21
41131690,658.3876363636364,165
31246166,658.3630303030303,33
35165931,658.348947368421,38
31123510,658.3318518518519,27
41142918,658.2860215053763,31
27037380,658.2591666666666,24
31354600,658.2583333333333,12
35290981,658.2567375886524,47
43215360,658.2366666666667,48
35564369,658.2226666666667,15
31123544,658.2222727272728,44
33166927,658.2167708333334,64
35117572,658.1921621621622,74
42091403,658.1110714285714,56
24087157,658.1011111111111,18
21279446,658.0656,25
41379110,657.9826984126985,42
32053070,657.9823655913979,93
28018109,657.963676012461,107
33173931,657.9623076923077,26
31108031,657.9434482758621,29
33166820,657.9352419354839,248
35159578,657.8374603174603,21
33189820,657.7743750000001,48
31193160,657.7733333333333,21
35111485,657.7473684210526,19
43216870,657.7284848484849,33
52108813,657.7225,16
29093619,657.7079591836734,98
31004278,657.6872222222223,36
29714630,657.6808695652173,23
43081860,657.6470967741935,31
35188712,657.6153846153846,13
31062171,657.5763636363637,33
31357081,657.5573684210526,38
31368342,657.548275862069,29
35196642,657.54375,16
29473128,657.5,13
52078485,657.4941935483871,31
60012485,657.47,4
42163021,657.4581818181819,11
43105084,657.4232323232324,99
33160180,657.3594594594595,37
33111774,657.3343209876543,27
60003897,657.332,5
33160163,657.3258823529412,17
29208955,657.2881818181818,22
60029066,657.2857142857143,7
31311481,657.2826666666666,15
31281921,657.266923076923,26
41063309,657.1611711711712,74
13031767,657.1458984375,256
31304981,657.1355555555556,9
43104924,657.0191,200
22022503,656.9341025641025,78
31074331,656.9213333333333,15
35439368,656.8812643678161,58
60018837,656.7644444444445,9
31254118,656.7483333333333,12
35185619,656.7169696969697,33
35112773,656.7020833333333,48
29342872,656.6793103448275,87
52053121,656.6018181818182,55
33065837,656.6008219178083,73
43157726,656.5776,25
23183152,656.5597222222223,72
31018864,656.5460869565217,23
31242241,656.5378378378379,74
33177597,656.5175999999999,25
42023262,656.4497142857142,35
33021724,656.4337037037037,54
35480745,656.4307692307692,13
15038424,656.4260097323601,137
42153824,656.4160454545455,220
35116026,656.2939869281046,51
35501918,656.1944,75
35197221,656.1479999999999,15
51069431,656.1425,40
31229946,656.1406451612903,31
35113207,656.1327272727274,55
35114078,656.117,60
33124418,656.0523636363636,55
43107419,656.0325925925927,27
35105648,656.0294933333333,125
31325848,656.02875,32
35103433,655.9809016393442,244
41133153,655.9795555555555,180
35504324,655.9132275132275,63
41162056,655.836875,32
24074667,655.8149019607843,51
51094061,655.7954913294798,173
35288100,655.7505263157894,19
28017781,655.721,40
60016196,655.72,5
35159177,655.6591999999999,25
31326577,655.656923076923,26
28017757,655.6118614718615,77
31140171,655.6102222222222,45
33147809,655.592,40
50005405,655.5445679012346,54
35123675,655.5153623188405,46
31231916,655.4990476190476,14
52061329,655.488,10
33064768,655.4680000000001,15
31343781,655.445925925926,54
60006884,655.4399999999999,1
33249202,655.4098630136986,73
31014087,655.4004210526316,95
41135946,655.3992857142857,28
43064973,655.3718055555556,48
41033310,655.3476252723311,153
33092346,655.3338271604938,54
60020192,655.3266666666667,6
