"CD_BAIRRO";"NM_BAIRRO";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"1100189009";"B.N.H.";"504";"1439";"1,63";"3516,65";"15107782,93";"2500"
"1100189010";"Beira Rio";"144";"380";"1,71";"2636,27";"3766472,24";"2000"
"1100189011";"Apediá";"239";"708";"1,56";"3531,91";"15599430,49";"2500"
"1100205002";"Juscelino Kubitschek";"2625";"7879";"2,63";"2133,04";"4319470,29";"1345"
"1100205003";"Flodoaldo Pontes Pinto";"2555";"7780";"2,52";"5294,59";"465143890,70";"3500"
"1100205004";"Tiradentes";"980";"3091";"2,77";"3502,84";"21949584,40";"2000"
"1100205005";"Industrial";"837";"2132";"1,66";"9661,44";"100463194,70";"6150"
"1100205006";"Nova Porto Velho";"3047";"8171";"2,28";"4382,51";"41710461,83";"2400"
"1100205007";"Roque";"794";"2396";"2,68";"2000,50";"2826122,13";"1212"
"1100205008";"Liberdade";"975";"2550";"2,18";"4627,27";"27886519,03";"3000"
"1100205009";"São João Bosco";"1952";"5616";"2,10";"7405,50";"75831577,13";"5000"
"1100205010";"São Cristóvão";"943";"2712";"2,42";"4195,32";"20436360,11";"2600"
"1100205011";"Nossa Senhora das Graças";"795";"1999";"1,95";"5706,11";"47453824,87";"3000"
"1100205012";"Mato Grosso";"444";"1341";"3,22";"2677,93";"13885034,45";"1550"
"1100205014";"Tucumanzal";"514";"1600";"2,63";"2378,56";"4483047,08";"1500"
"1100205015";"Olaria";"1150";"3191";"2,00";"7521,53";"79871002,89";"5000"
"1100205016";"Arigolândia";"258";"785";"3,35";"4749,09";"29530885,05";"3000"
"1100205017";"Centro";"581";"1350";"2,18";"4243,70";"32586997,49";"2600"
"1100205018";"Caiari";"89";"270";"2,99";"7275,49";"36837143,90";"5000"
"1100205019";"Santa Bárbara";"332";"895";"2,21";"3440,74";"16023429,15";"2000"
"1100205020";"Mocambo";"208";"624";"2,52";"2599,68";"9221821,02";"1500"
"1100205021";"Baixa União";"497";"1441";"2,55";"2376,47";"5030052,54";"1400"
"1100205022";"Quilômetro Um";"135";"330";"2,25";"4057,55";"21706158,08";"2000"
"1100205023";"Areal";"1530";"4268";"2,55";"2779,68";"8489493,62";"2000"
"1100205024";"Triângulo";"386";"1286";"2,99";"3112,59";"12673625,89";"1900"
"1100205025";"Militar";"135";"405";"1,01";"7752,08";"26976672,67";"7000"
"1100205026";"Floresta";"3040";"8548";"2,48";"3443,82";"12701427,86";"2214"
"1100205027";"Panair";"451";"1107";"2,70";"5259,90";"29559760,42";"3500"
"1100205030";"Pedrinhas";"1153";"3285";"2,59";"6235,83";"46251722,21";"4000"
"1100205031";"Embratel";"2724";"6578";"1,94";"4566,97";"26217663,02";"3000"
"1100205032";"Tancredo Neves";"2422";"7616";"2,68";"2092,68";"4088708,89";"1222"
"1100205033";"Tupi";"259";"822";"2,56";"2696,76";"7180934,99";"1800"
"1100205036";"Costa e Silva";"1513";"4294";"2,24";"5062,83";"45545693,66";"2600"
"1100205037";"São Sebastião";"1388";"4456";"2,57";"2577,85";"13064821,99";"1500"
"1100205038";"Nacional";"2348";"7697";"2,64";"1987,85";"2987292,20";"1500"
"1100205039";"Lagoa";"1499";"4592";"2,28";"5325,93";"55278472,20";"2000"
"1100205040";"Agenor M. de Carvalho";"3411";"9399";"2,30";"3711,78";"19807574,30";"2000"
"1100205041";"Rio Madeira";"2417";"6069";"1,56";"8075,05";"484475266,66";"6000"
"1100205042";"Eldorado";"1126";"3050";"2,57";"2901,13";"6241969,38";"2400"
"1100205043";"Aeroclube";"2540";"7344";"1,85";"8107,61";"5283398746,44";"1800"
"1100205044";"Cohab";"3748";"11601";"2,36";"2948,50";"8846213,30";"2000"
"1100205045";"Castanheira";"3993";"12201";"2,46";"2171,02";"4950887,40";"1500"
"1100205046";"Caladinho";"2565";"7928";"2,49";"2527,67";"5958599,90";"1800"
"1100205047";"Nova Floresta";"2415";"7200";"2,49";"3305,92";"18749433,56";"2000"
"1100205049";"Cidade do Lobo";"1131";"3639";"2,49";"1991,39";"3588304,53";"1212"
"1100205050";"Eletronorte";"1602";"4935";"2,49";"3298,36";"20056273,44";"2000"
"1100205051";"Novo Horizonte";"3297";"9973";"2,08";"3608,21";"16660448,89";"2500"
"1100205052";"Areia Branca";"556";"1903";"3,67";"1850,95";"1977560,09";"1212"
"1100205053";"Cascalheira";"539";"1701";"2,12";"1753,95";"3531130,33";"1212"
"1100205054";"Escola de Polícia";"1318";"4125";"2,38";"2142,36";"5289422,64";"1212"
"1100205055";"Teixeirão";"2200";"7233";"2,98";"1930,89";"4102590,66";"1212"
"1100205056";"Planalto";"1244";"3582";"2,13";"2653,90";"6309201,89";"1900"
"1100205057";"Lagoinha";"2912";"8981";"2,48";"2285,92";"4847206,06";"1500"
"1100205058";"Três Marias";"3864";"12127";"2,54";"2393,17";"8427718,78";"1500"
"1100205059";"Cuniã";"1836";"5682";"2,38";"3199,47";"11485662,22";"2000"
"1100205060";"Igarapé";"3087";"9605";"2,61";"2883,65";"14802007,86";"1800"
"1100205061";"Aponiã";"4760";"14580";"2,33";"3588,07";"53629803,42";"2100"
"1100205062";"Conceição";"2311";"7186";"2,36";"2750,99";"7025895,37";"1900"
"1100205063";"Cidade Nova";"1858";"6154";"2,77";"1660,02";"2381799,31";"1212"
"1100205064";"Nova Esperança";"2203";"6606";"2,14";"5658,11";"36156089,78";"4000"
"1100254001";"Cunha e Silva";"221";"588";"1,66";"1335,67";"420592,78";"1200"
"1100254002";"Ernandes Gonçalves";"210";"529";"1,55";"1725,19";"1338341,33";"1200"
"1100254003";"Lino Teixeira";"276";"768";"1,64";"2848,15";"5813282,73";"1900"
"1100254004";"Armando Negrizoli";"235";"663";"1,56";"2170,21";"2824443,14";"1500"
"1100288002";"Centenário";"854";"2334";"1,77";"2366,97";"5550776,07";"1500"
"1100288003";"Jardim Tropical";"1039";"2832";"1,64";"2169,97";"3623010,59";"1500"
"1100288004";"São Cristóvão";"1453";"3716";"1,58";"2376,36";"3886621,60";"2000"
"1100288005";"Beira Rio";"1740";"4746";"1,64";"2419,85";"6721541,17";"1800"
"1100288006";"Olímpico";"1071";"2794";"1,55";"2420,19";"5349564,09";"1600"
"1100288007";"Boa Esperança";"1816";"4838";"1,64";"2652,37";"10855442,80";"1600"
"1100288008";"Cidade Alta";"2076";"5717";"1,68";"2232,34";"7742136,83";"1614"
"1100288009";"Bairro Industrial";"805";"2230";"1,30";"3089,94";"16267139,32";"2000"
"1100288010";"Planalto";"1478";"3803";"1,67";"3063,08";"53571928,94";"2000"
"1100288011";"Nova Morada";"194";"455";"1,89";"2492,26";"5653722,61";"1750"
"1100288012";"Centro";"2288";"5587";"1,59";"3761,94";"19494141,73";"2400"
"1100288013";"Mutirão";"227";"573";"1,30";"2122,74";"2621233,21";"1500"
"1100288014";"Cohab";"269";"726";"1,73";"1928,46";"3206754,42";"1500"
"1100288015";"Bom Jardim";"223";"680";"2,39";"1634,80";"3234820,35";"1212"
"1100296001";"Figueira";"272";"667";"1,32";"2078,96";"2868354,33";"1300"
"1100296002";"Saúde";"215";"528";"1,52";"2080,65";"2839042,14";"1500"
"1100296003";"Jardim Das Oliveiras";"70";"172";"1,24";"1687,36";"945805,68";"1212"
