CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,DS_ENDERECO,NU_ENDERECO,CO_CEP,NU_CNPJ_MANTENEDORA
3525003,VICENTE AMATO PROFESSOR ESCOLA SENAI,35147874,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,3.0,12.0,0.0,266.0,0.0,0.0,3525003,ELTON SILVA,905,6600025,3774819000102.0
3525003,SAO JOSE INSTITUTO EDUCACIONAL,35802074,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,1.0,1.0,5.0,4.0,1.0,0.0,0.0,222.0,11.0,1.1,3525003,CONCEICAO SAMMARTINO,100,6600080,4391436000100.0
3525102,SESI 342 CENTRO EDUCACIONAL,35114686,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,0.0,5.0,8.0,3.0,2.0,0.0,508.0,92.0,6.133333333333334,3525102,SONIA TAVARES DOS SANTOS,342,14680000,3779133000104.0
3525102,COLEGIO TEMA EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,35126412,4,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,11.0,11.0,6.0,4.0,0.0,0.0,611.0,112.0,5.090909090909091,3525102,SENADOR JOAQUIM MIGUEL,1040,14680000,259750000182.0
3525102,CESCJCENTRO EDUCACIONAL SAGRADO CORACAO DE JESUS,35160489,4,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,15.0,1.0,6.0,5.0,3.0,3.0,0.0,0.0,142.0,35.0,2.333333333333333,3525102,CAMPOS SALLES,330,14680000,53221252000107.0
3525102,NEC NUCLEO DE EDUCACAO CULTURA ENSINO FUNDAMENTAL E MEDIO,35160490,4,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,1.0,0.0,0.0,5.0,3.0,2.0,0.0,230.0,82.0,5.857142857142857,3525102,LINCOLN GUIMARAES,85,14680010,4250399000110.0
3525201,INTEGRADO COLEGIO,35165426,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,1.0,5.0,5.0,4.0,3.0,0.0,0.0,248.0,27.0,1.8,3525201,EDGARD MAXIMO ZAMBOTTO,KM 70,13241041,99999999999999.0
3525201,PILAR BONAS ASSOCIACAO DE ENSINO,35165438,4,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,15.0,1.0,4.0,5.0,5.0,3.0,0.0,0.0,287.0,43.0,2.8666666666666667,3525201,LUIZ DOMINGUES,111,13240066,2674131000180.0
3525300,COLEGIO CONEXAO,35009516,4,1.0,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,8.0,4.0,3.0,0.0,0.0,321.0,88.0,6.285714285714286,3525300,RUI BARBOSA,900,17210000,46718836000127.0
3525300,SESI 026 CENTRO EDUCACIONAL,35115678,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,0.0,10.0,12.0,8.0,7.0,2.0,1566.0,246.0,9.461538461538462,3525300,JOAO LOURENCO PIRES DE CAMPOS,600,17212591,3779133000104.0
3525300,SAINT EXUPERY COLEGIO,35115708,4,1.0,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,25.0,1.0,13.0,10.0,5.0,3.0,0.0,0.0,468.0,83.0,3.32,3525300,GAUDENCIO GUACELLI,50,17210130,99999999999999.0
3525300,RAUL BAUAB DOUTOR FUNDACAO EDUCACIONAL COLEGIO,35115712,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,1.0,16.0,10.0,5.0,3.0,2.0,0.0,646.0,115.0,3.1944444444444446,3525300,TENENTE NAVARRO,642,17207310,50761121000124.0
