cidade;UF;posicao_local;total_escolas_cidade;NO_ENTIDADE;codigo_escola;score_destaque;enem_media_geral;QT_MAT_MED;eh_parceiro_poliedro;eh_unidade_propria;melhor_posicao_parceiro_na_cidade
Macaé;RJ;9;10;COLEGIO ANDRADE DE FIGUEIREDO;33172285;0.2178;530.0;77.0;False;False;2
Macaé;RJ;10;10;CENTRO EDUCACIONAL CRESCER;33118965;0.1054;540.8;59.0;False;False;2
Maceió;AL;1;61;COLEGIO CONTATO MACEIO;27220885;0.9466;695.5;496.0;True;False;1
Maceió;AL;2;61;COLEGIO SANTA MADALENA SOFIA;27035000;0.8381;650.7;551.0;False;False;1
Maceió;AL;3;61;COLEGIO DINAMICO;27037380;0.8339;674.0;137.0;True;False;1
Maceió;AL;4;61;COLEGIO SANTA URSULA LTDA;27218244;0.8299;655.1;479.0;False;False;1
Maceió;AL;5;61;COLEGIO MARIA MONTESSORI;27226115;0.7999;652.5;254.0;False;False;1
Maceió;AL;6;61;SEB ESCOLAS DE ALTA PERFORMANCE LTDA;27218180;0.7581;626.7;377.0;False;False;1
Maceió;AL;7;61;COLEGIO FANTASTICO;27216845;0.686;620.8;65.0;False;False;1
Maceió;AL;8;61;ESCOLA DE EDUCACAO BASICA PADRAO;27223361;0.6511;621.7;102.0;False;False;1
Maceió;AL;9;61;COLEGIO SANTA AMELIA UNIDADE GRUTA;27051889;0.6378;617.8;76.0;False;False;1
Maceió;AL;10;61;ELITE INTEGRAL LTDA;27049140;0.6311;630.2;149.0;False;False;1
Natal;RN;1;48;COLEGIO MARISTA DE NATAL;24057134;0.9481;697.0;564.0;False;False;10
Natal;RN;2;48;FACEX;24057169;0.9339;684.3;170.0;False;False;10
Natal;RN;3;48;COLEGIO SALESIANO SAO JOSE;24057126;0.9194;674.3;212.0;False;False;10
Natal;RN;4;48;CENTRO DE EDUCACAO INTEGRADA S A - ROMUALDO;24069191;0.9091;698.3;436.0;False;False;10
Natal;RN;5;48;COLEGIO MARIE JOST;24084263;0.9089;698.0;57.0;False;False;10
Natal;RN;6;48;CENTRO DE EDUCACAO INTEGRADA S A - ROBERTO FREIRE;24089214;0.9011;690.7;168.0;False;False;10
Natal;RN;7;48;CENTRO DE EDUCACAO INTEGRADA MAIS LTDA;24350303;0.8658;667.1;268.0;False;False;10
Natal;RN;8;48;COLEGIO CIENCIAS APLICADAS;24097004;0.8607;724.4;141.0;False;False;10
Natal;RN;9;48;COLEGIO PORTO;24088846;0.8524;704.9;332.0;False;False;10
Natal;RN;10;48;COLGIO CONTEMPORANEO;24057002;0.835;651.2;132.0;True;False;10
Niterói;RJ;1;42;COLEGIO LA SALLE ABEL;33057109;0.9485;697.3;463.0;False;False;14
