codigo_municipio;populacao_total;qtd_escolas_elegiveis;qtd_escolas_com_enem;enem_media_praca;populacao_0_17;score_socioeconomico;percentil_socioeconomico;percentil_volume_escolas;percentil_qualidade_enem;score_priorizacao;nome_municipio_ibge;uf;rank_cidade;top10
3169901;103365;5,0;5,0;650,1067724867726;22576;0,2461627479396941;0,449685534591195;0,2515723270440251;0,9873015873015872;0,5515;Ubá;MG;143;False
3147907;111939;4,0;4,0;640,830303030303;24427;0,2699312541475759;0,5440251572327044;0,1776729559748427;0,9333333333333332;0,5509;Passos;MG;144;False
3505500;122485;8,0;7,0;607,852087087087;25793;0,2965581009168354;0,6257861635220126;0,4685534591194968;0,5238095238095238;0,548;Barretos;SP;145;False
3506508;118979;5,0;4,0;628,976062992126;25150;0,2644104950191133;0,5157232704402516;0,2515723270440251;0,8571428571428571;0,5389;Birigui;SP;146;False
2914802;186708;8,0;6,0;621,1329957805907;41498;0,2384025840011497;0,4119496855345912;0,4685534591194968;0,7587301587301587;0,533;Itabuna;BA;147;False
3168606;137418;5,0;4,0;643,0780116959064;31484;0,2423594270447592;0,4276729559748428;0,2515723270440251;0,9492063492063492;0,5313;Teófilo Otoni;MG;148;False
2609600;349976;15,0;12,0;596,9381941309255;77841;0,2528617879327138;0,4591194968553459;0,7468553459119497;0,3904761904761905;0,5248;Olinda;PE;149;False
1504208;266533;13,0;9,0;622,6606303030303;81839;0,195952170881204;0,2169811320754717;0,6776729559748428;0,7682539682539683;0,5206;Marabá;PA;150;False
2307304;286120;10,0;7,0;630,8691018998272;74039;0,1945742873927645;0,210691823899371;0,5738993710691824;0,873015873015873;0,5184;Juazeiro do Norte;CE;151;False
3302700;197277;11,0;10,0;583,5319686800894;42807;0,2943911925426716;0,6194968553459119;0,6194968553459119;0,2761904761904762;0,5165;Maricá;RJ;152;False
3522307;157790;12,0;10,0;596,7776393442623;36754;0,2640568029137194;0,5094339622641509;0,64937106918239;0,3873015873015873;0,5148;Itapetininga;SP;153;False
3304904;896744;54,0;28,0;599,8165003615329;180641;0,2072373501219281;0,2578616352201258;0,9449685534591196;0,4222222222222222;0,5133;São Gonçalo;RJ;154;False
4318705;217409;8,0;4,0;594,2096066252589;49591;0,3126769009999099;0,6635220125786163;0,4685534591194968;0,3492063492063492;0,5107;São Leopoldo;RS;155;False
3205002;520653;12,0;8,0;603,1377991452991;131650;0,2438874088782003;0,4371069182389937;0,64937106918239;0,4571428571428571;0,5068;Serra;ES;156;False
3552809;273542;13,0;12,0;581,6281078431373;63209;0,277174145115405;0,5723270440251572;0,6776729559748428;0,2476190476190476;0,5065;Taboão da Serra;SP;157;False
5107925;110635;6,0;4,0;602,8496774193549;32225;0,3174303089391941;0,6792452830188679;0,3286163522012578;0,4507936507936508;0,5055;Sorriso;MT;158;False
3103504;117808;6,0;6,0;612,3207076350094;25457;0,2728064196541089;0,5566037735849056;0,3286163522012578;0,6126984126984127;0,505;Araguari;MG;159;False
2604106;378048;19,0;15,0;602,5435143769967;95556;0,2152164251133665;0,3081761006289308;0,8238993710691824;0,4444444444444444;0,5038;Caruaru;PE;160;False
2700300;234696;20,0;15,0;608,9194881889763;63413;0,1981966259148477;0,220125786163522;0,8380503144654088;0,5428571428571428;0,5023;Arapiraca;AL;161;False
2903201;159734;6,0;6,0;630,6304964539008;43478;0,2240893741592252;0,3584905660377358;0,3286163522012578;0,8666666666666667;0,502;Barreiras;BA;162;False
3302205;101041;5,0;3,0;621,8255769230769;20707;0,2580656252116063;0,4842767295597484;0,2515723270440251;0,765079365079365;0,4987;Itaperuna;RJ;163;False
3513801;393237;20,0;14,0;584,8590499590499;87574;0,2335611337714943;0,389937106918239;0,8380503144654088;0,2920634920634921;0,495;Diadema;SP;164;False
